playerID,team_id,fullName,posType,position 
8478839,12,Aleksi Saarela,Forward,C
8480830,12,Andrei Svechnikov,Forward,RW
8468001,13,Derek MacKenzie,Forward,C
8477963,13,Jayce Hawryluk,Forward,C
8478211,13,Dryden Hunt,Forward,LW
8478470,13,Sam Montembeault,Goalie,G
8466141,13,Roberto Luongo,Goalie,G
8471426,13,Troy Brouwer,Forward,RW
8471735,13,Keith Yandle,Defenseman,D
8473465,13,Jamie McGinn,Forward,LW
8473503,13,James Reimer,Goalie,G
8474098,13,Colton Sceviour,Forward,C
8474149,13,Evgenii Dadonov,Forward,RW
8474884,13,Mike Hoffman,Forward,LW
8475772,13,Riley Sheahan,Forward,C
8475796,13,Mark Pysyk,Defenseman,D
8476389,13,Vincent Trocheck,Forward,C
8476456,13,Jonathan Huberdeau,Forward,LW
8476875,13,Mike Matheson,Defenseman,D
8477346,13,MacKenzie Weegar,Defenseman,D
8477384,13,Josh Brown,Defenseman,D
8477452,13,Ian McCoshen,Defenseman,D
8477493,13,Aleksander Barkov,Forward,C
8477932,13,Aaron Ekblad,Defenseman,D
8478366,13,Frank Vatrano,Forward,C
8478843,13,Denis Malgin,Forward,C
8479404,13,Henrik Borgstrom,Forward,C
8481442,13,Brady Keeper,Defenseman,D
8470601,14,Braydon Coburn,Defenseman,D
8471339,14,Ryan Callahan,Forward,RW
8471873,14,Anton Stralman,Defenseman,D
8471958,14,Dan Girardi,Defenseman,D
8473986,14,Alex Killorn,Forward,LW
8474151,14,Ryan McDonagh,Defenseman,D
8474564,14,Steven Stamkos,Forward,C
8474870,14,Tyler Johnson,Forward,C
8475167,14,Victor Hedman,Defenseman,D
8475839,14,Louis Domingue,Goalie,G
8476292,14,Ondrej Palat,Forward,LW
8476453,14,Nikita Kucherov,Forward,RW
8476468,14,J.T. Miller,Forward,C
8476826,14,Yanni Gourde,Forward,C
8476883,14,Andrei Vasilevskiy,Goalie,G
8476975,14,Cedric Paquette,Forward,C
8477454,14,Adam Erne,Forward,LW
8478010,14,Brayden Point,Forward,C
8478365,14,Danick Martel,Forward,LW
8478416,14,Erik Cernak,Defenseman,D
8478472,14,Mathieu Joseph,Forward,RW
8478519,14,Anthony Cirelli,Forward,C
8479410,14,Mikhail Sergachev,Defenseman,D
8480172,14,Jan Rutta,Defenseman,D
8477970,15,Vitek Vanecek,Goalie,G
8468498,15,Brooks Orpik,Defenseman,D
8471214,15,Alex Ovechkin,Forward,LW
8471698,15,T.J. Oshie,Forward,RW
8471702,15,Matt Niskanen,Defenseman,D
8473563,15,Nicklas Backstrom,Forward,C
8474176,15,Carl Hagelin,Forward,LW
8474189,15,Lars Eller,Forward,C
8474590,15,John Carlson,Defenseman,D
8474651,15,Braden Holtby,Goalie,G
8475200,15,Dmitry Orlov,Defenseman,D
8475324,15,Nick Jensen,Defenseman,D
8475343,15,Nic Dowd,Forward,C
8475744,15,Evgeny Kuznetsov,Forward,C
8475792,15,Brett Connolly,Forward,RW
8476329,15,Travis Boyd,Forward,C
8476436,15,Dmitrij Jaskin,Forward,RW
8476880,15,Tom Wilson,Forward,RW
8476905,15,Chandler Stephenson,Forward,C
8477043,15,Christian Djoos,Defenseman,D
8477444,15,Andre Burakovsky,Forward,LW
8477831,15,Pheonix Copley,Goalie,G
8477944,15,Jakub Vrana,Forward,LW
8478399,15,Jonas Siegenthaler,Defenseman,D
8479482,15,Michal Kempny,Defenseman,D
8470281,16,Duncan Keith,Defenseman,D
8470320,16,Cam Ward,Goalie,G
8470543,16,Chris Kunitz,Forward,LW
8470607,16,Brent Seabrook,Defenseman,D
